ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000015208	1	chr11	+	12744575	12770546	12744774,12751619,12751847,12752362,12759460,12759877,12762481,12765213,12765387,12767387,12768054,	12751475,12751702,12752186,12759345,12759717,12762355,12765136,12765311,12767330,12767944,12768152,
ENSDARG00000056773	1	chr3	-	19557604	19561058	19558202,19559022,19560117,19560409,19560532,	19558880,19559843,19560241,19560512,19560933,
ENSDARG00000059046	0	chr21	-	5368130	5393125	5368608,5370531,5370722,5372740,5374323,5374590,5374796,5376809,5389478,	5370391,5370613,5372549,5374181,5374481,5374668,5376696,5389334,5392915,
ENSDARG00000037099	1	chr1	+	29211540	29228393	29214788,	29227453,
ENSDARG00000060506	1	chr13	-	36638955	36663358	36640863,36641922,36642268,36642608,36643563,36643819,36644359,36644612,36647276,36647578,36648665,36649363,36652139,36652943,36655284,36655458,36655682,36655937,36656276,36657597,36657814,36659970,	36641819,36642227,36642353,36643447,36643647,36644242,36644450,36647157,36647356,36648553,36649241,36652058,36652288,36655157,36655360,36655572,36655794,36656070,36657433,36657683,36659845,36663208,
ENSDARG00000071494	1	chr12	+	24738962	24770190	24739196,24756301,24760040,24760401,24760785,24760984,24763427,24763587,24766723,	24756230,24759966,24760330,24760711,24760904,24763359,24763513,24766538,24768588,
ENSDARG00000088975	1	chr1	-	9100473	9114936	9100607,9100840,9103538,9104754,9105081,9107107,9107270,9109399,9111608,9113748,	9100684,9103317,9104563,9104922,9106950,9107212,9109329,9109491,9113392,9114777,
ENSDARG00000092174	1	chr20	+	9211237	9216772	9211437,9211693,9216303,	9211558,9216196,9216562,
ENSDARG00000078363	1	chr2	+	1958604	1986773	1958886,1964046,1966148,1968709,1968908,1975339,1976933,1980353,1980532,1981337,1983281,	1963882,1965995,1968628,1968812,1975240,1976824,1980204,1980431,1981215,1983075,1984921,
ENSDARG00000002967	1	chr3	-	40277704	40284744	40278202,40280178,40280769,40282441,40284062,	40280027,40280651,40282346,40283971,40284282,
ENSDARG00000054290	1	chr2	-	38197853	38225472	38198788,38199774,38200438,38200641,38200844,38201137,38201910,38202123,38202393,38202899,38204793,38209872,38210270,38216651,38221171,38223902,38224074,	38199674,38200123,38200534,38200737,38200992,38201727,38201983,38202245,38202854,38204733,38209790,38210121,38216355,38221113,38223791,38224009,38225221,
ENSDARG00000054177	1	chr12	+	29131689	29208517	29132385,29192641,29197716,29204815,29206901,	29192514,29197593,29204664,29206806,29207068,
ENSDARG00000093053	0	chr1	-	9113630	9115034	9113748,	9114777,
ENSDARG00000055548	0	chr15	+	25528290	25542592	25528477,25528885,25529329,25529703,25529844,25530940,25531101,25531466,25531654,25531825,25532009,25532227,25534565,25536601,25536780,25538846,	25528767,25529269,25529625,25529804,25530725,25531026,25531343,25531563,25531744,25531913,25532117,25533270,25536492,25536690,25537627,25542249,
ENSDARG00000056621	1	chr18	+	22287188	22295064	22287697,22288758,22289184,22289447,22289669,22289952,22290194,22290488,22290770,22291003,22291347,	22288192,22288842,22289277,22289536,22289832,22290045,22290328,22290588,22290862,22291138,22291438,
ENSDARG00000094563	1	chr22	+	2239974	2242861	2240089,2241673,	2241466,2242433,
ENSDARG00000071198	0	chr6	-	8591585	8597735	8591949,8592177,8594694,8597469,	8592039,8594610,8597272,8597675,
ENSDARG00000078310	1	chr25	+	16646113	16688641	16646449,16671839,16675400,16675660,16675826,16676027,16678165,16679197,16680108,16680853,16681043,16681244,16681449,16682202,16682962,16683783,16685661,	16671745,16675217,16675533,16675752,16675960,16678005,16679114,16679961,16680724,16681006,16681153,16681323,16681850,16682822,16683057,16683882,16685780,
ENSDARG00000012674	1	chr11	+	17984167	17994777	17984518,17984774,17987126,17987317,17989832,17992039,	17984609,17986922,17987224,17989682,17991942,17994096,
ENSDARG00000092180	1	chr16	+	32092866	32095684	32093057,32094120,32094990,	32093827,32094682,32095585,
ENSDARG00000039996	1	chr19	-	25072053	25081711	25072922,25077102,	25076915,25081102,
ENSDARG00000070743	1	chr6	+	36821621	36837536	36821912,36826306,36828898,36831195,36831426,	36826096,36828686,36831011,36831284,36836609,
ENSDARG00000037192	1	chr14	-	28530153	28534563	28530535,28531223,28534097,	28531001,28534004,28534189,
ENSDARG00000102417	1	chr7	-	67307273	67317119	67310873,67313494,67313981,67314197,67315506,	67313232,67313884,67314105,67315415,67316643,
ENSDARG00000096927	1	chr15	-	656069	660289	656557,657013,657375,657681,657875,659451,	656676,657136,657468,657781,658460,659534,
ENSDARG00000014196	1	chr9	-	38994232	39005317	38994745,38997233,39000018,39000390,39003663,	38997156,38999845,39000247,39003636,39005150,
ENSDARG00000034940	1	chr2	+	5948534	5999636	5948854,5958488,5976238,5984530,5987754,5987937,5990995,5993822,5997081,5997277,	5958409,5976023,5984488,5987523,5987838,5990762,5993628,5996947,5997172,5999293,
ENSDARG00000099840	1	chr10	+	13000370	13063743	13000938,13038140,	13036985,13063442,
ENSDARG00000090416	0	chr1	-	37379063	37383741	37381198,37381344,37382232,37382374,37382509,37383040,37383189,	37381279,37382194,37382339,37382480,37382978,37383142,37383269,
ENSDARG00000091211	1	chr13	-	12653975	12660318	12654255,12654477,12654685,12655052,12657948,12658116,12659211,12659388,	12654339,12654553,12654789,12657729,12658029,12659073,12659287,12660252,
ENSDARG00000062518	1	chr8	-	43736072	43775805	43736461,43739866,43740120,43742134,43742398,43744154,43744373,43745822,43746130,43748775,43748925,43749501,43749712,43750062,43752633,43752853,43755375,43756011,43756218,43758074,43760569,43763997,43765656,43769851,43770144,43774983,43775346,	43739731,43739963,43742016,43742223,43744009,43744263,43745710,43745955,43748663,43748857,43749392,43749605,43749979,43752588,43752730,43755275,43755961,43756136,43758016,43760468,43763924,43765483,43769815,43770112,43774942,43775254,43775429,
ENSDARG00000035810	1	chr9	+	17438765	17449872	17438912,17439490,17445281,17445429,	17439317,17445174,17445367,17449375,
ENSDARG00000018228	1	chr7	+	23457803	23494298	23458227,23482900,	23482700,23491779,
ENSDARG00000030133	1	chr5	+	55984270	55989773	55984403,55985331,55987202,55987509,55987708,55988011,55989158,	55985214,55987113,55987307,55987589,55987814,55989049,55989241,
ENSDARG00000017084	0	chr3	+	40284598	40287841	40285007,40285357,40287245,	40285235,40287079,40287357,
ENSDARG00000074328	1	chr10	+	15777064	15812946	15777331,15784999,15786356,15786495,15788625,15789139,15789411,15795254,15795514,15803338,15809109,15809314,	15783380,15786255,15786456,15788480,15789107,15789322,15795051,15795335,15803126,15808990,15809174,15812875,
ENSDARG00000028816	1	chr7	-	30175656	30177691	30176652,30176981,	30176736,30177429,
ENSDARG00000095212	1	chr15	-	647854	651602	648266,648725,649074,649380,649594,650766,	648388,648835,649167,649500,649775,650849,
ENSDARG00000029296	1	chr14	+	11103718	11268375	11103893,11234836,	11234714,11260620,
ENSDARG00000098999	0	chr15	-	6968631	6976921	6970301,6976052,6976477,	6975958,6976365,6976644,
ENSDARG00000103413	1	chr3	+	7617353	7639107	7617535,7617751,7618912,7623211,	7617655,7618784,7623115,7638047,
ENSDARG00000020008	1	chr5	+	41510387	41520980	41510529,41512340,41512806,41513119,41514003,41514241,41514429,41514645,41516332,41516557,41517936,41518160,41518473,41518932,41519183,41519500,	41512229,41512634,41512977,41513873,41514110,41514327,41514512,41516197,41516445,41517772,41518038,41518261,41518624,41519028,41519346,41520381,
ENSDARG00000099839	1	chr2	-	51750761	51757328	51752481,51752789,51753075,	51752635,51752953,51757058,
ENSDARG00000013730	1	chr5	-	45746457	45877387	45748851,45751219,45751946,45754934,45757745,45762765,45762928,45767139,45769867,45771651,45772040,45773775,45782083,45786397,45791086,45792252,45795004,45797377,45797675,45806076,45808895,45811487,45814931,45819024,45852786,45869997,	45751140,45751853,45754770,45757572,45762697,45762856,45766961,45769706,45771538,45771855,45773702,45781812,45786264,45790912,45792139,45794850,45797290,45797518,45806000,45808800,45811308,45814771,45818889,45852613,45869924,45876824,
ENSDARG00000069846	1	chr9	+	21826724	21831588	21826959,21829269,21829563,	21829098,21829365,21831269,
ENSDARG00000024325	1	chr5	+	50913034	50967976	50913443,50917373,50928283,50944514,50944757,50949196,50949790,50956587,50956763,50958232,50958623,50958805,50960460,50960668,50963043,50963275,50964424,	50917239,50928167,50944407,50944619,50949113,50949633,50956495,50956677,50958143,50958546,50958710,50960328,50960598,50962915,50963146,50964287,50966768,
ENSDARG00000042122	1	chr8	-	18001982	18010097	18003033,18003455,18003679,18006066,18006220,18007113,	18003320,18003578,18006006,18006151,18006911,18009976,
ENSDARG00000071009	1	chr17	+	23470967	23509973	23471619,23471949,23472234,23472465,23472959,23474298,23474594,23475485,23475685,23475902,23476139,23477749,23478358,23478601,23478949,23481078,23481346,23482359,23483947,23486905,23487148,23487446,23487652,23488501,23488745,23489007,23492389,23492981,23494902,23503986,23506873,23507113,	23471863,23472115,23472327,23472775,23474247,23474394,23475374,23475614,23475756,23475983,23477492,23478219,23478472,23478742,23481029,23481227,23482221,23483053,23486767,23487026,23487386,23487527,23488383,23488590,23488831,23492255,23492892,23494690,23503912,23506771,23506974,23508162,
ENSDARG00000104993	0	chr11	-	4492467	4787083	4492624,4568966,4594587,4595967,	4568900,4594558,4595822,4786942,
ENSDARG00000104775	1	chr21	+	5472330	5481824	5472558,5474285,5476644,5481210,	5474175,5476513,5481097,5481330,
ENSDARG00000054363	1	chr18	-	49273989	49283058	49275444,	49282640,
ENSDARG00000021720	1	chr6	-	40184235	40312091	40185686,40185965,40189290,40189499,40193403,40193751,40195341,40195508,40195673,40196894,40197057,40199327,40200311,40200448,40201193,40201344,40201518,40204556,40204864,40205193,40206368,40206779,40206928,40209263,40209436,40209748,40210026,40210163,40210283,40210893,40213163,40213343,40213579,40215979,40216408,40216567,40216699,40216809,40218781,40220164,40220315,40220529,40221583,40221724,40222069,40222419,40222549,40222673,40222789,40222905,40224914,40225147,40225879,40226001,40228133,40228316,40232161,40232331,40235645,40236227,40236385,40236517,40236650,40236793,40237552,40237688,40237803,40238367,40238515,40240330,40240521,40240735,40240878,40241031,40241168,40241302,40241722,40241853,40241995,40242610,40242816,40246086,40246286,40246451,40246572,40248180,40248372,40248549,40248665,40250841,40251069,40252585,40252863,40253820,40257813,40258042,40258247,40259490,40259849,40261586,40261939,40262146,40263820,40264088,40266695,40269260,40271288,40271563,40273294,40277054,40277282,40279564,40279839,40280040,40281491,40283341,40286642,	40185792,40189225,40189368,40193308,40193743,40195293,40195455,40195596,40196778,40196995,40199265,40200258,40200395,40201113,40201309,40201447,40204485,40204808,40205158,40206333,40206735,40206869,40209228,40209365,40209623,40209931,40210128,40210239,40210834,40213128,40213275,40213499,40215944,40216346,40216535,40216655,40216774,40218746,40220120,40220244,40220416,40221539,40221689,40221860,40222300,40222514,40222635,40222754,40222870,40224846,40225043,40225844,40225966,40228089,40228245,40232126,40232251,40235610,40236192,40236305,40236476,40236615,40236749,40237481,40237644,40237768,40238287,40238480,40240271,40240450,40240703,40240843,40240996,40241124,40241267,40241678,40241818,40241936,40242539,40242763,40245973,40246215,40246398,40246537,40248118,40248271,40248505,40248639,40250666,40250926,40252459,40252727,40253671,40257694,40257896,40258122,40259344,40259724,40261443,40261673,40262027,40263674,40263966,40266549,40269144,40271139,40271444,40273139,40276935,40277153,40279407,40279681,40279947,40281335,40283161,40286561,40311868,
ENSDARG00000039270	1	chr13	-	33040436	33054847	33041491,33041654,33042672,33048217,33051522,	33041593,33042499,33048026,33051464,33054587,
ENSDARG00000055305	1	chr13	-	25584556	25632756	25585513,25586525,25589295,25589682,25589886,25590615,25590920,25591117,25592445,25592796,25593929,25594152,25594389,25597882,25599130,25600314,25600638,25602224,25603890,	25586378,25589196,25589545,25589816,25590493,25590706,25591010,25592298,25592540,25593819,25594042,25594258,25597600,25598931,25600119,25600400,25601931,25603657,25632593,
ENSDARG00000056483	1	chr22	-	20951211	21046654	20955826,20958817,20959752,20959922,20960073,20961891,20962006,20962129,20962280,20964565,20964747,20964891,20966666,20974383,21010694,21022739,21032196,	20958716,20959724,20959844,20960003,20961837,20961971,20962084,20962213,20964498,20964681,20964832,20966583,20974294,21010610,21022678,21032124,21046599,
ENSDARG00000101774	0	chr9	+	52613821	52624373	52614061,52614203,52614466,52615935,52616655,52617869,52618027,52618921,52619077,52621330,52621608,52622285,52622405,	52614147,52614340,52615846,52616468,52617836,52617943,52618786,52619031,52621143,52621464,52622244,52622375,52623935,
ENSDARG00000032221	1	chr16	-	34199297	34285106	34199493,34200730,34201046,34202324,34202749,34205223,34208807,34212898,34222777,34225618,34230194,34234281,34265610,34268017,	34200654,34200909,34202263,34202694,34205043,34208518,34212556,34222391,34225169,34230114,34234111,34265566,34267905,34285035,
ENSDARG00000040503	1	chr18	-	49309953	49318823	49311491,49315295,	49314551,49318661,
ENSDARG00000099416	1	chr21	+	5494561	5498520	5494623,5494829,5495234,5498028,	5494710,5495112,5497918,5498148,
ENSDARG00000095191	0	chr2	-	37460640	37462462	37460888,37461772,	37460968,37462391,
ENSDARG00000015537	1	chr24	-	6133147	6158933	6137663,6142765,6145414,6147062,6147568,6148495,6153213,6153379,6153574,6155204,6155840,6156541,6157288,6157956,6158283,	6142676,6145307,6146913,6147490,6148431,6153097,6153325,6153495,6155089,6155728,6156451,6157055,6157813,6158221,6158547,
ENSDARG00000094736	1	chr22	+	2198246	2290657	2198439,2271271,	2271162,2288806,
ENSDARG00000095065	1	chr1	+	40156908	40177693	40157135,40157335,40157909,40158432,40159277,40163288,	40157283,40157754,40158263,40159217,40162512,40176389,
ENSDARG00000042829	1	chr20	-	35576739	35706379	35576893,35578087,35578427,35578694,35580616,35580760,35580885,35581012,35581137,35581271,35581404,35581743,35584684,35590467,35590704,35591036,35591392,35591691,35592050,35592707,35593017,35593671,35594042,35594352,35595035,35595388,35595698,35596045,35597814,35598162,35598448,35598680,35598978,35600262,35600608,35600892,35601126,35601427,35601773,35602059,35602291,35602575,35603928,35604155,35604513,35606704,35606933,35607931,35609382,35609741,35610041,35610383,35610895,35611473,35611797,35612103,35612444,35612693,35613267,35613604,35613908,35614786,35615091,35615393,35615732,35616085,35616435,35617791,35619390,35619748,35620510,35622747,35623426,35623863,35625084,35625415,35626146,35626585,35626837,35627126,35627374,35627710,35628389,35629156,35631146,35631826,35632146,35632397,35632686,35634819,35635629,35636357,35636610,35637823,35638545,35638983,35639235,35639524,35641911,35642735,35643474,35644939,35645659,35646097,35646349,35646638,35647236,35647567,35648277,35649038,35649327,35651259,35651772,35652610,35652859,35653147,35655248,35655761,35656601,35656854,35657142,35659273,35659786,35663583,35664096,35664934,35665184,35665473,35666055,35666619,35667500,35667821,35668109,35668653,35669342,35670048,35670368,35670656,35671621,35672212,35674314,35674635,35675468,35676156,35676862,35677181,35677469,35677717,35678435,35679063,35679521,35679798,35680593,35681164,35681677,35682135,35682701,35682949,35683245,35683506,35684083,35684546,35684830,35685933,35686181,35686504,35686765,35687136,35687595,35687872,35688161,35688409,35688729,35689566,35690027,35690311,35691418,35691666,35691989,35692824,35693285,35693569,35693858,35694106,35694445,35694706,35695230,35695675,35696364,35696653,35696901,35697342,35698260,35698627,35698912,35699200,35699482,35700063,35700315,35700750,35703501,35704591,35704839,35705050,35705361,35705706,	35578023,35578327,35578686,35580566,35580707,35580841,35580968,35581093,35581227,35581360,35581687,35584643,35590321,35590546,35590926,35591246,35591545,35591904,35592561,35592871,35593525,35593896,35594206,35594889,35595242,35595552,35595899,35597668,35598016,35598302,35598534,35598832,35600116,35600462,35600746,35600980,35601281,35601627,35601913,35602145,35602429,35603782,35604018,35604367,35606558,35606796,35607785,35609236,35609595,35609895,35610237,35610749,35611327,35611651,35611957,35612298,35612547,35613121,35613458,35613762,35614640,35614945,35615247,35615586,35615939,35616289,35617645,35619244,35619602,35620364,35622592,35623280,35623717,35624938,35625260,35626000,35626439,35626691,35626968,35627228,35627555,35628243,35629010,35630991,35631680,35632000,35632251,35632528,35634664,35635483,35636211,35636464,35637668,35638399,35638837,35639089,35639366,35641756,35642589,35643328,35644784,35645513,35645951,35646203,35646480,35647090,35647412,35648131,35648892,35649169,35651104,35651626,35652464,35652713,35652989,35655093,35655615,35656455,35656708,35656984,35659118,35659640,35663428,35663950,35664788,35665038,35665315,35665900,35666473,35667354,35667675,35667951,35668498,35669196,35669902,35670222,35670498,35671466,35672066,35674168,35674489,35675313,35676010,35676716,35677035,35677311,35677571,35678280,35678917,35679375,35679652,35680435,35681009,35681531,35681989,35682543,35682803,35683090,35683354,35683937,35684400,35684684,35685775,35686035,35686349,35686613,35686990,35687449,35687726,35688003,35688263,35688574,35689420,35689881,35690165,35691260,35691520,35691834,35692678,35693139,35693423,35693700,35693960,35694290,35694554,35695084,35695529,35696218,35696495,35696755,35697187,35698114,35698481,35698766,35699042,35699336,35699899,35700172,35700577,35703352,35704427,35704696,35705002,35705252,35705608,35706340,
ENSDARG00000017441	1	chr1	+	7546259	7554463	7546418,7546766,7550693,7550952,7553659,	7546736,7550550,7550782,7553582,7553890,
ENSDARG00000009727	1	chr11	-	17965098	17981427	17966543,17971862,17972108,17974277,17974426,17974815,17975027,17976891,17977231,17979905,	17971741,17971958,17974158,17974376,17974801,17974923,17976796,17977053,17979828,17981210,
ENSDARG00000016231	1	chr4	+	2655358	2666310	2655478,2658038,2658220,2660498,2661290,2662775,2663355,	2657937,2658120,2660351,2661155,2662667,2663255,2665613,
ENSDARG00000103582	1	chr22	+	2198323	2202703	2198467,2199026,	2198915,2202315,
ENSDARG00000070717	1	chr25	-	16615178	16666886	16617687,16617840,16625628,16630404,16630707,16634377,16635636,16639718,16639969,16643696,16655007,	16617765,16625465,16630218,16630592,16634287,16635581,16639596,16639823,16643497,16654966,16666680,
ENSDARG00000075715	0	chr2	+	31454562	31457860	31454840,31455735,31457166,	31455663,31457043,31457253,
ENSDARG00000101214	1	chr7	+	67252880	67311294	67253848,67257386,67257959,67261068,67263037,67263467,67266827,67268055,67268267,67278707,67281006,67281513,67281716,67283687,67284206,67284852,67285583,67287837,67288101,67289381,67292349,67293140,67296709,67298735,67298999,67301420,67301842,67302864,67303077,67303364,67305453,67307617,67307822,	67257228,67257774,67260964,67262985,67263394,67266710,67267920,67268134,67278570,67280857,67281389,67281599,67283562,67283981,67284662,67285353,67287736,67287923,67289235,67292150,67292917,67296152,67298636,67298859,67301235,67301512,67302731,67302950,67303204,67305243,67307516,67307691,67309672,
ENSDARG00000070953	1	chr17	+	21477892	21494295	21478049,21481191,21481824,21482133,21484157,21484367,21484514,21484844,21485471,21485718,21485856,21486172,21486708,21487081,21487858,21488638,21488846,21491587,21491867,21492148,	21481145,21481752,21481997,21484026,21484327,21484472,21484790,21485323,21485605,21485822,21486034,21486572,21486859,21487741,21488501,21488739,21491408,21491698,21491962,21493736,
ENSDARG00000103266	1	chr11	+	45110865	45126501	45110973,45112559,45112760,45117180,45117936,45118353,45120719,45120909,45122770,45123059,45123778,45123986,45124545,45124735,45125526,	45112508,45112663,45117050,45117765,45118255,45120441,45120811,45122544,45122885,45123693,45123894,45124475,45124615,45125403,45125611,
ENSDARG00000104350	0	chr3	+	24603923	24610004	24604026,24605827,24606197,24606449,24607796,24608207,24608905,24609215,	24605683,24606093,24606316,24607619,24608152,24608836,24609160,24609661,
ENSDARG00000088366	1	chr14	+	35901249	35911982	35901294,35902817,35903008,35903271,35905752,35906081,35906462,35908045,35909327,	35902758,35902907,35903121,35905665,35905862,35906202,35907913,35909189,35911826,
ENSDARG00000060901	1	chr11	-	40331791	40418975	40332513,40347844,40350821,40364883,40416222,	40347729,40350565,40364788,40415690,40418825,
ENSDARG00000077741	1	chr11	+	18037729	18039583	18038057,18038250,18038443,18038666,18038876,	18038131,18038325,18038519,18038758,18038970,
ENSDARG00000056961	1	chr23	+	20705849	20730155	20706299,20706542,20709230,20709491,20711497,20712287,20713172,20713733,20715320,20715587,20716303,20716546,20716810,20716981,20717277,20719446,20719739,20720076,20720644,20720966,20721812,20722052,20724940,20725145,20726393,20726605,20726809,20726978,	20706399,20709051,20709371,20711307,20712219,20713098,20713589,20715249,20715472,20716229,20716482,20716618,20716892,20717152,20719309,20719561,20719854,20720522,20720796,20721603,20721895,20724775,20725024,20726252,20726469,20726692,20726914,20728772,
ENSDARG00000069160	1	chr4	-	27253731	27398414	27253758,27265200,27301310,	27265073,27301161,27398303,
ENSDARG00000040851	1	chr13	-	8847421	8892514	8848611,8850618,8850793,8851027,8851253,8854254,8854426,8854661,8856201,8856387,8856694,8856919,8862196,8862971,8863132,8865898,8866065,8867684,8868099,8870334,8870519,8873325,8874198,8875998,8876473,8876700,8876951,8878583,8888352,	8850481,8850707,8850898,8851108,8854113,8854329,8854506,8856024,8856290,8856524,8856807,8862088,8862819,8863052,8865740,8865979,8867571,8867966,8870169,8870425,8873250,8873411,8875840,8876392,8876617,8876802,8878521,8888215,8892457,
ENSDARG00000091757	1	chr20	-	35568552	35578435	35569849,35570019,35570170,35570326,35574132,35574450,35574719,35575442,35575746,35576551,35576893,35578087,	35569956,35570108,35570285,35572768,35574280,35574541,35575302,35575540,35576366,35576739,35578023,35578327,
ENSDARG00000008032	0	chr5	+	20453961	20481389	20454168,20457397,20458927,20459254,20460087,20460868,20464010,20467234,20467484,20467648,20467788,20468016,20471473,20471630,20471978,20474178,20475856,20477555,	20457271,20458823,20459070,20459982,20460744,20463855,20467096,20467367,20467581,20467730,20467907,20471361,20471554,20471810,20473712,20475704,20477368,20479406,
ENSDARG00000097323	1	chr11	+	18023465	18030903	18023563,18027554,18029170,	18026685,18029054,18029258,
ENSDARG00000013087	1	chr11	+	25101220	25140425	25101671,25119048,25119260,25122133,25122420,25127923,25129067,25129255,25129598,25130234,25132382,25132559,25135878,	25118943,25119140,25122071,25122360,25127837,25129011,25129152,25129533,25130030,25132347,25132508,25135840,25138190,
ENSDARG00000007407	1	chr11	+	27543093	27545719	27543625,27544889,27545120,	27544598,27545036,27545200,
ENSDARG00000004851	1	chr5	+	30596822	30608624	30596926,30597212,30599661,30600145,30601935,30602177,30602434,30602699,30603982,	30596998,30599432,30600046,30601783,30602100,30602314,30602561,30603858,30605085,
ENSDARG00000056583	0	chr19	-	28281201	28283877	28281363,28281969,28282114,	28281847,28282061,28283710,
ENSDARG00000051888	0	chr7	+	56472595	56484798	56472666,56473580,56473845,56477257,56477425,56478530,56478790,56480128,56483402,	56473484,56473665,56477170,56477342,56478420,56478605,56480018,56483354,56483482,
ENSDARG00000091896	1	chr22	+	2218030	2224093	2218152,2218643,2223666,	2218534,2223276,2223838,
ENSDARG00000070157	1	chr23	+	43255328	43272125	43255405,43256179,43258849,43260850,43261629,43262638,43263483,43264066,43265091,43267171,43269298,43269859,	43256000,43258625,43260732,43261501,43262461,43263354,43263963,43264849,43266896,43269138,43269723,43271966,
ENSDARG00000037383	1	chr1	+	21725821	21815554	21726350,21737483,21745175,21748843,21753359,21769488,21790474,21798774,21807230,21810930,	21737318,21744978,21748779,21753234,21769388,21790345,21798673,21807144,21810844,21815472,
ENSDARG00000075395	1	chr5	-	69702602	69707787	69702885,69704198,69704543,69706076,69706360,69706914,	69704099,69704428,69705929,69706164,69706808,69707558,
ENSDARG00000070165	1	chr11	-	40431629	40457325	40434441,40436413,40436636,40439320,40439485,40440769,40441093,40441284,	40436379,40436568,40439094,40439395,40440611,40440968,40441185,40457011,
ENSDARG00000037307	1	chr14	+	23709134	23715349	23709285,23709793,23709985,23710272,23710528,	23709656,23709884,23710090,23710344,23713258,
ENSDARG00000094286	0	chr5	+	30608057	30612729	30608278,30608554,30612417,	30608387,30612214,30612514,
ENSDARG00000030108	1	chr2	+	9973687	9983661	9973947,9974183,9974667,9979016,	9974074,9974507,9978870,9982674,
ENSDARG00000002670	0	chr17	+	10748366	10766670	10748857,10750772,10750893,10751079,10752395,10755672,10761872,10762158,10763510,	10750710,10750851,10750998,10752158,10755440,10761755,10762068,10763425,10765262,
ENSDARG00000041533	1	chr22	-	26239424	26251563	26240006,26243319,26244835,26245255,26245397,26245588,26245751,26245916,26246725,	26243181,26244663,26245113,26245337,26245533,26245669,26245863,26246674,26251475,
ENSDARG00000074125	1	chr22	+	2228919	2235192	2228981,2230079,	2229970,2233895,
ENSDARG00000052030	1	chr6	-	33918813	33925409	33918973,33921002,33921159,33921435,33921694,33923908,33924123,33924716,	33920916,33921087,33921236,33921499,33923757,33924004,33924621,33925313,
ENSDARG00000062421	0	chr24	+	23202545	23214258	23202707,	23213125,
ENSDARG00000102986	1	chr14	-	3143421	3180947	3144064,3144840,3151042,3153840,3154309,3154516,3157836,3161529,3161708,3162556,3163728,3166224,3166945,3167455,3168312,3169749,3171356,3171804,3174182,3174559,	3144732,3150943,3153729,3154187,3154410,3157754,3161367,3161598,3162452,3163602,3166133,3166758,3167344,3168197,3169548,3171194,3171668,3173895,3174278,3180790,
ENSDARG00000074270	1	chr12	-	29223278	29233738	29229713,	29233279,
ENSDARG00000012390	1	chr20	+	9223514	9239037	9223766,9227798,9232833,9233093,	9227687,9232667,9232925,9237224,
ENSDARG00000102160	0	chr11	-	40467618	40504170	40468418,40472362,40472477,40472985,40476661,40490211,40493441,40500192,	40472164,40472458,40472836,40476297,40490022,40493346,40500150,40504013,
ENSDARG00000092088	1	chr22	+	2247645	2251297	2247716,2248461,	2248352,2250915,
ENSDARG00000055809	1	chr22	-	24869690	24880824	24869885,24871362,24871629,24871806,24871981,24872261,24872488,24872703,24872931,24873250,24873415,24873581,24873986,24874292,24874476,24874745,24875857,24876127,24876367,24876552,24876771,24877402,24877695,24878005,24878207,24878947,24879192,24879447,24879699,24879948,24880286,24880554,24880671,	24871201,24871464,24871712,24871887,24872078,24872359,24872565,24872789,24873044,24873344,24873537,24873679,24874088,24874371,24874560,24875755,24875941,24876248,24876451,24876647,24877305,24877478,24877787,24878082,24878782,24879035,24879297,24879551,24879787,24880035,24880403,24880651,24880771,
ENSDARG00000079310	1	chr19	+	4800068	4813760	4800321,4800836,4804187,4805500,4808208,4808433,	4800527,4803994,4805321,4808163,4808314,4811381,
ENSDARG00000029995	1	chr7	+	39389273	39394430	39389303,39389850,39392051,39392228,39392496,	39389814,39391923,39392139,39392320,39392589,
ENSDARG00000002956	1	chr12	+	4114401	4145033	4114639,4116558,4118491,4119521,4120569,4121762,4122346,4122587,4126029,4126661,4126865,4128601,4128821,4129484,4129819,4132863,4133092,4133377,4133609,4134044,4134295,4135271,4135450,4137740,4137908,4140803,4141046,4141615,4141821,4143509,	4116417,4118377,4119418,4120493,4121648,4122216,4122442,4125882,4126511,4126792,4128484,4128685,4129338,4129616,4132730,4132950,4133229,4133478,4133971,4134154,4135173,4135371,4137654,4137830,4140708,4140966,4141505,4141708,4143399,4143593,
ENSDARG00000056230	1	chr2	-	25551457	25553632	25551761,	25552830,
ENSDARG00000004308	1	chr16	-	25593339	25597909	25594225,25594453,25594655,25595224,	25594314,25594532,25595104,25597400,
ENSDARG00000043148	1	chr10	-	36558815	36592486	36559025,36570553,36572102,36572829,36576012,36584314,36584598,36590568,36591572,	36570419,36571908,36572596,36575741,36584272,36584394,36590431,36591326,36592443,
ENSDARG00000002830	1	chr5	-	24532410	24542726	24532700,24534376,24534574,24535044,24535245,24535493,24535689,24538747,24539095,24541563,	24534280,24534458,24534969,24535123,24535382,24535574,24538633,24538914,24541455,24541873,
ENSDARG00000060601	1	chr8	-	31901318	31919624	31902307,31906807,31907025,31910465,31914570,	31906737,31906881,31910335,31914404,31919088,
ENSDARG00000031540	1	chr20	+	2227860	2241954	2228402,	2240340,
ENSDARG00000090396	1	chr7	-	5305381	5316968	5305518,5309337,5309539,5311312,5313497,	5309283,5309420,5311034,5313183,5316853,
ENSDARG00000103785	1	chr12	-	648334	656540	648483,650553,651223,653015,653306,	650373,651129,652889,653095,656263,
